using cuda device
current class:obj1
loss:0.253666  heatmap_loss:0.236016  contour_loss:0.017650
loss:0.308715  heatmap_loss:0.282463  contour_loss:0.026252
loss:0.491397  heatmap_loss:0.451038  contour_loss:0.040359
loss:0.181789  heatmap_loss:0.158776  contour_loss:0.023013
loss:0.144946  heatmap_loss:0.126610  contour_loss:0.018336
loss:0.435192  heatmap_loss:0.408210  contour_loss:0.026982
loss:0.315842  heatmap_loss:0.287089  contour_loss:0.028753
loss:0.690564  heatmap_loss:0.632438  contour_loss:0.058126
loss:0.271458  heatmap_loss:0.242279  contour_loss:0.029179
loss:8.637568  heatmap_loss:8.575387  contour_loss:0.062180
loss:0.574164  heatmap_loss:0.519267  contour_loss:0.054897
loss:0.202105  heatmap_loss:0.142973  contour_loss:0.059132
loss:0.272453  heatmap_loss:0.218708  contour_loss:0.053746
loss:0.134341  heatmap_loss:0.112002  contour_loss:0.022339
loss:0.215483  heatmap_loss:0.180861  contour_loss:0.034622
loss:0.274554  heatmap_loss:0.217646  contour_loss:0.056908
loss:0.120319  heatmap_loss:0.097041  contour_loss:0.023278
loss:0.179679  heatmap_loss:0.149319  contour_loss:0.030359
loss:0.192676  heatmap_loss:0.162621  contour_loss:0.030055
loss:0.233148  heatmap_loss:0.205426  contour_loss:0.027722
loss:0.186389  heatmap_loss:0.151154  contour_loss:0.035236
loss:0.187804  heatmap_loss:0.150954  contour_loss:0.036850
Time cost:1109.978624343872
LR:0.1
Epoch: 02, Loss: 8.5112
current class:obj1
loss:0.190430  heatmap_loss:0.162090  contour_loss:0.028340
loss:0.198974  heatmap_loss:0.159460  contour_loss:0.039514
loss:0.120130  heatmap_loss:0.103555  contour_loss:0.016575
loss:0.260257  heatmap_loss:0.213158  contour_loss:0.047099
loss:0.183785  heatmap_loss:0.169469  contour_loss:0.014316
loss:0.347866  heatmap_loss:0.321523  contour_loss:0.026343
loss:0.136710  heatmap_loss:0.115042  contour_loss:0.021667
loss:0.146159  heatmap_loss:0.128466  contour_loss:0.017693
loss:0.188972  heatmap_loss:0.162434  contour_loss:0.026537
loss:0.251789  heatmap_loss:0.220368  contour_loss:0.031421
loss:0.220683  heatmap_loss:0.200187  contour_loss:0.020496
loss:2.034313  heatmap_loss:1.996720  contour_loss:0.037593
loss:0.251311  heatmap_loss:0.223704  contour_loss:0.027607
loss:0.210572  heatmap_loss:0.185319  contour_loss:0.025253
loss:0.320821  heatmap_loss:0.296777  contour_loss:0.024045
loss:0.303157  heatmap_loss:0.255242  contour_loss:0.047916
loss:0.313923  heatmap_loss:0.292739  contour_loss:0.021185
loss:0.557545  heatmap_loss:0.520103  contour_loss:0.037443
loss:1.228004  heatmap_loss:1.191567  contour_loss:0.036438
loss:0.254240  heatmap_loss:0.201680  contour_loss:0.052560
loss:0.284500  heatmap_loss:0.223650  contour_loss:0.060850
loss:0.138950  heatmap_loss:0.121440  contour_loss:0.017511
loss:0.203707  heatmap_loss:0.181422  contour_loss:0.022284
loss:0.493029  heatmap_loss:0.465824  contour_loss:0.027205
loss:1.805224  heatmap_loss:1.755966  contour_loss:0.049258
loss:0.145678  heatmap_loss:0.127070  contour_loss:0.018607
loss:0.217271  heatmap_loss:0.187029  contour_loss:0.030242
loss:0.192785  heatmap_loss:0.163027  contour_loss:0.029758
loss:0.234425  heatmap_loss:0.193331  contour_loss:0.041094
loss:0.216601  heatmap_loss:0.179594  contour_loss:0.037008
loss:0.268853  heatmap_loss:0.237662  contour_loss:0.031191
loss:0.154574  heatmap_loss:0.132981  contour_loss:0.021593
loss:0.124177  heatmap_loss:0.106663  contour_loss:0.017515
loss:0.143735  heatmap_loss:0.122010  contour_loss:0.021724
loss:0.341019  heatmap_loss:0.311158  contour_loss:0.029860
loss:0.265566  heatmap_loss:0.239426  contour_loss:0.026140
loss:0.278950  heatmap_loss:0.260059  contour_loss:0.018891
loss:0.198515  heatmap_loss:0.168424  contour_loss:0.030090
loss:0.194568  heatmap_loss:0.161204  contour_loss:0.033363
loss:0.294588  heatmap_loss:0.259472  contour_loss:0.035116
loss:0.177666  heatmap_loss:0.151814  contour_loss:0.025852
loss:0.161183  heatmap_loss:0.141466  contour_loss:0.019718
loss:0.371380  heatmap_loss:0.315323  contour_loss:0.056057
loss:0.145832  heatmap_loss:0.125409  contour_loss:0.020423
loss:0.119201  heatmap_loss:0.097868  contour_loss:0.021333
loss:0.167476  heatmap_loss:0.147079  contour_loss:0.020397
loss:0.121178  heatmap_loss:0.104638  contour_loss:0.016541
loss:0.151959  heatmap_loss:0.131194  contour_loss:0.020765
loss:0.124643  heatmap_loss:0.101987  contour_loss:0.022655
loss:0.192622  heatmap_loss:0.174518  contour_loss:0.018103
loss:0.150469  heatmap_loss:0.123062  contour_loss:0.027407
loss:0.249683  heatmap_loss:0.220848  contour_loss:0.028836
loss:0.158003  heatmap_loss:0.135150  contour_loss:0.022853
loss:0.474453  heatmap_loss:0.421354  contour_loss:0.053099
loss:0.168748  heatmap_loss:0.151775  contour_loss:0.016973
loss:0.107606  heatmap_loss:0.091240  contour_loss:0.016365
loss:0.209231  heatmap_loss:0.186294  contour_loss:0.022937
loss:0.197302  heatmap_loss:0.168069  contour_loss:0.029233
loss:0.164651  heatmap_loss:0.142483  contour_loss:0.022168
loss:0.180179  heatmap_loss:0.159101  contour_loss:0.021078
loss:0.136309  heatmap_loss:0.120676  contour_loss:0.015633
loss:0.133077  heatmap_loss:0.117808  contour_loss:0.015270
loss:0.220314  heatmap_loss:0.199943  contour_loss:0.020371
loss:0.166289  heatmap_loss:0.145248  contour_loss:0.021041
loss:0.174705  heatmap_loss:0.160146  contour_loss:0.014559
